,Finish,Country,Team_Name,Team_FIVB_ID,FIVB_ID,BVB_ID,FIVB_Name,TourniStartDate,TourniEndDate,TournLocation,TypeOfEvent,TournID,gender,isBlack_Challenge,isBlack_Elite16
0,1,Brazil,Carolina Solberg Salgado / Barbara Seixas De Freitas,104079 / 104505,104079,5887,Carolina Solberg Salgado,2022-03-16,2022-03-20,"Tlaxcala, Mexico",Challenge,3986,F,True,False
1,1,Brazil,Carolina Solberg Salgado / Barbara Seixas De Freitas,104079 / 104505,104505,8022,Barbara Seixas De Freitas,2022-03-16,2022-03-20,"Tlaxcala, Mexico",Challenge,3986,F,True,False
2,2,Netherlands,Raisa Schoon / Katja Stam,153703 / 156328,153703,16919,Raisa Schoon,2022-03-16,2022-03-20,"Tlaxcala, Mexico",Challenge,3986,F,True,False
3,2,Netherlands,Raisa Schoon / Katja Stam,153703 / 156328,156328,16917,Katja Stam,2022-03-16,2022-03-20,"Tlaxcala, Mexico",Challenge,3986,F,True,False
4,3,Brazil,Elize Secomandi Maia / Thamela Coradello Galil,120937 / 163501,120937,9593,Elize Secomandi Maia,2022-03-16,2022-03-20,"Tlaxcala, Mexico",Challenge,3986,F,True,False
5,3,Brazil,Elize Secomandi Maia / Thamela Coradello Galil,120937 / 163501,163501,18464,Thamela Coradello Galil,2022-03-16,2022-03-20,"Tlaxcala, Mexico",Challenge,3986,F,True,False
6,1,United States,Sara Hughes / Kelley Kolinske,135571 / 146695,135571,13154,Sara Hughes,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3988,F,True,False
7,1,United States,Sara Hughes / Kelley Kolinske,135571 / 146695,146695,15139,Kelley Kolinske,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3988,F,True,False
8,2,Netherlands,Raisa Schoon / Katja Stam,153703 / 156328,153703,16919,Raisa Schoon,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3988,F,True,False
9,2,Netherlands,Raisa Schoon / Katja Stam,153703 / 156328,156328,16917,Katja Stam,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3988,F,True,False
10,3,Brazil,Andressa Cavalcanti Ramalho / Vitoria De Souza Rodrigues,142309 / 156492,142309,14458,Andressa Cavalcanti Ramalho,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3988,F,True,False
11,3,Brazil,Andressa Cavalcanti Ramalho / Vitoria De Souza Rodrigues,142309 / 156492,156492,16883,Vitoria De Souza Rodrigues,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3988,F,True,False
12,1,Brazil,Carolina Solberg Salgado / Barbara Seixas De Freitas,104079 / 104505,104079,5887,Carolina Solberg Salgado,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4054,F,True,False
13,1,Brazil,Carolina Solberg Salgado / Barbara Seixas De Freitas,104079 / 104505,104505,8022,Barbara Seixas De Freitas,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4054,F,True,False
14,2,Germany,Chantal Laboureur / Sarah Schulz,120750 / 153932,120750,9373,Chantal Laboureur,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4054,F,True,False
15,2,Germany,Chantal Laboureur / Sarah Schulz,120750 / 153932,153932,16916,Sarah Schulz,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4054,F,True,False
16,3,Switzerland,Tanja Huberli / Nina Brunner,132614 / 135579,132614,11625,Tanja Huberli,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4054,F,True,False
17,3,Switzerland,Tanja Huberli / Nina Brunner,132614 / 135579,135579,13151,Nina Brunner,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4054,F,True,False
18,1,United States,Kristen Nuss / Taryn Kloth,162432 / 184611,162432,17607,Kristen Nuss,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4056,F,True,False
19,1,United States,Kristen Nuss / Taryn Kloth,162432 / 184611,184611,20804,Taryn Kloth,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4056,F,True,False
20,2,Australia,Mariafe Artacho Del Solar / Taliqua Clancy,118988 / 125172,118988,8395,Mariafe Artacho Del Solar,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4056,F,True,False
21,2,Australia,Mariafe Artacho Del Solar / Taliqua Clancy,118988 / 125172,125172,10795,Taliqua Clancy,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4056,F,True,False
22,3,United States,Sarah Sponcil / Terese Cannon,139854 / 162448,139854,14959,Sarah Sponcil,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4056,F,True,False
23,3,United States,Sarah Sponcil / Terese Cannon,139854 / 162448,162448,17069,Terese Cannon,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4056,F,True,False
24,1,Australia,Mariafe Artacho Del Solar / Taliqua Clancy,118988 / 125172,118988,8395,Mariafe Artacho Del Solar,2022-07-14,2022-07-17,"Espinho, Portugal",Challenge,4058,F,True,False
25,1,Australia,Mariafe Artacho Del Solar / Taliqua Clancy,118988 / 125172,125172,10795,Taliqua Clancy,2022-07-14,2022-07-17,"Espinho, Portugal",Challenge,4058,F,True,False
26,2,United States,Sarah Schermerhorn / Corinne Quiggle,140553 / 157794,140553,16898,Sarah Schermerhorn,2022-07-14,2022-07-17,"Espinho, Portugal",Challenge,4058,F,True,False
27,2,United States,Sarah Schermerhorn / Corinne Quiggle,140553 / 157794,157794,16376,Corinne Quiggle,2022-07-14,2022-07-17,"Espinho, Portugal",Challenge,4058,F,True,False
28,3,Brazil,Andressa Cavalcanti Ramalho / Vitoria De Souza Rodrigues,142309 / 156492,142309,14458,Andressa Cavalcanti Ramalho,2022-07-14,2022-07-17,"Espinho, Portugal",Challenge,4058,F,True,False
29,3,Brazil,Andressa Cavalcanti Ramalho / Vitoria De Souza Rodrigues,142309 / 156492,156492,16883,Vitoria De Souza Rodrigues,2022-07-14,2022-07-17,"Espinho, Portugal",Challenge,4058,F,True,False
30,1,Netherlands,Mexime Van Driel / Emma Piersma,151976 / 163002,151976,17054,Mexime Van Driel,2022-07-21,2022-07-24,"Agadir, Morocco",Challenge,4060,F,True,False
31,1,Netherlands,Mexime Van Driel / Emma Piersma,151976 / 163002,163002,17791,Emma Piersma,2022-07-21,2022-07-24,"Agadir, Morocco",Challenge,4060,F,True,False
32,2,Czechia,Barbora Hermannova / Marie-Sara Stochlova,120746 / 148474,120746,9361,Barbora Hermannova,2022-07-21,2022-07-24,"Agadir, Morocco",Challenge,4060,F,True,False
33,2,Czechia,Barbora Hermannova / Marie-Sara Stochlova,120746 / 148474,148474,15756,Marie-Sara Stochlova,2022-07-21,2022-07-24,"Agadir, Morocco",Challenge,4060,F,True,False
34,3,Italy,Marta Menegatti / Valentina Gottardi,118204 / 181183,118204,7849,Marta Menegatti,2022-07-21,2022-07-24,"Agadir, Morocco",Challenge,4060,F,True,False
35,3,Italy,Marta Menegatti / Valentina Gottardi,118204 / 181183,181183,20460,Valentina Gottardi,2022-07-21,2022-07-24,"Agadir, Morocco",Challenge,4060,F,True,False
36,1,Finland,Taru Lahti-Liukkonen / Niina Ahtiainen,104781 / 139764,104781,7914,Taru Lahti-Liukkonen,2022-10-13,2022-10-16,"Sun Island, Maldives",Challenge,3996,F,True,False
37,1,Finland,Taru Lahti-Liukkonen / Niina Ahtiainen,104781 / 139764,139764,14008,Niina Ahtiainen,2022-10-13,2022-10-16,"Sun Island, Maldives",Challenge,3996,F,True,False
38,2,Austria,Lena Plesiutschnig / Katharina Schutzenhofer,132663 / 132706,132663,11650,Lena Plesiutschnig,2022-10-13,2022-10-16,"Sun Island, Maldives",Challenge,3996,F,True,False
39,2,Austria,Lena Plesiutschnig / Katharina Schutzenhofer,132663 / 132706,132706,11649,Katharina Schutzenhofer,2022-10-13,2022-10-16,"Sun Island, Maldives",Challenge,3996,F,True,False
40,3,Finland,Anniina Parkkinen / Sara Sinisalo,137416 / 173488,137416,13428,Anniina Parkkinen,2022-10-13,2022-10-16,"Sun Island, Maldives",Challenge,3996,F,True,False
41,3,Finland,Anniina Parkkinen / Sara Sinisalo,137416 / 173488,173488,19512,Sara Sinisalo,2022-10-13,2022-10-16,"Sun Island, Maldives",Challenge,3996,F,True,False
42,1,Czechia,Barbora Hermannova / Marie-Sara Stochlova,120746 / 148474,120746,9361,Barbora Hermannova,2022-10-22,2022-10-25,"Dubai, United Arab Emirates",Challenge,4128,F,True,False
43,1,Czechia,Barbora Hermannova / Marie-Sara Stochlova,120746 / 148474,148474,15756,Marie-Sara Stochlova,2022-10-22,2022-10-25,"Dubai, United Arab Emirates",Challenge,4128,F,True,False
44,2,China,Xinyi Xia / Meimei Lin,141784 / 168331,141784,14924,Xinyi Xia,2022-10-22,2022-10-25,"Dubai, United Arab Emirates",Challenge,4128,F,True,False
45,2,China,Xinyi Xia / Meimei Lin,141784 / 168331,168331,14923,Meimei Lin,2022-10-22,2022-10-25,"Dubai, United Arab Emirates",Challenge,4128,F,True,False
46,3,United States,Katie Horton / Julia Scoles,168577 / 182816,168577,15598,Katie Horton,2022-10-22,2022-10-25,"Dubai, United Arab Emirates",Challenge,4128,F,True,False
47,3,United States,Katie Horton / Julia Scoles,168577 / 182816,182816,19577,Julia Scoles,2022-10-22,2022-10-25,"Dubai, United Arab Emirates",Challenge,4128,F,True,False
48,1,Germany,Julia Sude / Isabel Schneider,105040 / 125057,105040,8417,Julia Sude,2022-10-27,2022-10-30,"Dubai, United Arab Emirates",Challenge,4130,F,True,False
49,1,Germany,Julia Sude / Isabel Schneider,105040 / 125057,125057,10827,Isabel Schneider,2022-10-27,2022-10-30,"Dubai, United Arab Emirates",Challenge,4130,F,True,False
50,2,United States,Molly Turner / Madelyne Anderson,170643 / 170672,170643,16798,Molly Turner,2022-10-27,2022-10-30,"Dubai, United Arab Emirates",Challenge,4130,F,True,False
51,2,United States,Molly Turner / Madelyne Anderson,170643 / 170672,170672,18936,Madelyne Anderson,2022-10-27,2022-10-30,"Dubai, United Arab Emirates",Challenge,4130,F,True,False
52,3,Thailand,Taravadee Naraphornrapat / Worapeerachayakorn Kongphopsarutawadee,138962 / 150542,138962,13873,Taravadee Naraphornrapat,2022-10-27,2022-10-30,"Dubai, United Arab Emirates",Challenge,4130,F,True,False
53,3,Thailand,Taravadee Naraphornrapat / Worapeerachayakorn Kongphopsarutawadee,138962 / 150542,150542,18155,Worapeerachayakorn Kongphopsarutawadee,2022-10-27,2022-10-30,"Dubai, United Arab Emirates",Challenge,4130,F,True,False
54,1,United States,Sara Hughes / Kelly Cheng,135571 / 140066,135571,13154,Sara Hughes,2022-11-23,2022-11-27,"Torquay, Australia",Challenge,3980,F,True,False
55,1,United States,Sara Hughes / Kelly Cheng,135571 / 140066,140066,14478,Kelly Cheng,2022-11-23,2022-11-27,"Torquay, Australia",Challenge,3980,F,True,False
56,2,China,Lvwen Yuan / Jie Dong,146052 / 162511,146052,15495,Lvwen Yuan,2022-11-23,2022-11-27,"Torquay, Australia",Challenge,3980,F,True,False
57,2,China,Lvwen Yuan / Jie Dong,146052 / 162511,162511,17565,Jie Dong,2022-11-23,2022-11-27,"Torquay, Australia",Challenge,3980,F,True,False
58,3,China,Xinyi Xia / Meimei Lin,141784 / 168331,141784,14924,Xinyi Xia,2022-11-23,2022-11-27,"Torquay, Australia",Challenge,3980,F,True,False
59,3,China,Xinyi Xia / Meimei Lin,141784 / 168331,168331,14923,Meimei Lin,2022-11-23,2022-11-27,"Torquay, Australia",Challenge,3980,F,True,False
60,1,China,Chen Xue / Xinyi Xia,104438 / 141784,104438,7238,Chen Xue,2023-03-06,2023-03-09,"Itapema, Brazil",Challenge,4169,F,True,False
61,1,China,Chen Xue / Xinyi Xia,104438 / 141784,141784,14924,Xinyi Xia,2023-03-06,2023-03-09,"Itapema, Brazil",Challenge,4169,F,True,False
62,2,Brazil,Carolina Solberg Salgado / Barbara Seixas De Freitas,104079 / 104505,104079,5887,Carolina Solberg Salgado,2023-03-06,2023-03-09,"Itapema, Brazil",Challenge,4169,F,True,False
63,2,Brazil,Carolina Solberg Salgado / Barbara Seixas De Freitas,104079 / 104505,104505,8022,Barbara Seixas De Freitas,2023-03-06,2023-03-09,"Itapema, Brazil",Challenge,4169,F,True,False
64,3,United States,Sarah Sponcil / Terese Cannon,139854 / 162448,139854,14959,Sarah Sponcil,2023-03-06,2023-03-09,"Itapema, Brazil",Challenge,4169,F,True,False
65,3,United States,Sarah Sponcil / Terese Cannon,139854 / 162448,162448,17069,Terese Cannon,2023-03-06,2023-03-09,"Itapema, Brazil",Challenge,4169,F,True,False
66,1,United States,Kristen Nuss / Taryn Kloth,162432 / 184611,162432,17607,Kristen Nuss,2023-03-16,2023-03-19,"La Paz, Mexico",Challenge,4167,F,True,False
67,1,United States,Kristen Nuss / Taryn Kloth,162432 / 184611,184611,20804,Taryn Kloth,2023-03-16,2023-03-19,"La Paz, Mexico",Challenge,4167,F,True,False
68,2,United States,Savannah Simo / Toni Rodriguez,162244 / 187527,162244,17552,Savannah Simo,2023-03-16,2023-03-19,"La Paz, Mexico",Challenge,4167,F,True,False
69,2,United States,Savannah Simo / Toni Rodriguez,162244 / 187527,187527,19441,Toni Rodriguez,2023-03-16,2023-03-19,"La Paz, Mexico",Challenge,4167,F,True,False
70,3,Brazil,Taina Silva Bigi / Victoria Lopes Pereira Tosta,142873 / 146801,142873,14460,Taina Silva Bigi,2023-03-16,2023-03-19,"La Paz, Mexico",Challenge,4167,F,True,False
71,3,Brazil,Taina Silva Bigi / Victoria Lopes Pereira Tosta,142873 / 146801,146801,15283,Victoria Lopes Pereira Tosta,2023-03-16,2023-03-19,"La Paz, Mexico",Challenge,4167,F,True,False
72,1,Italy,Marta Menegatti / Valentina Gottardi,118204 / 181183,118204,7849,Marta Menegatti,2023-04-13,2023-04-16,"Saquarema, Brazil",Challenge,4171,F,True,False
73,1,Italy,Marta Menegatti / Valentina Gottardi,118204 / 181183,181183,20460,Valentina Gottardi,2023-04-13,2023-04-16,"Saquarema, Brazil",Challenge,4171,F,True,False
74,2,Brazil,Taina Silva Bigi / Victoria Lopes Pereira Tosta,142873 / 146801,142873,14460,Taina Silva Bigi,2023-04-13,2023-04-16,"Saquarema, Brazil",Challenge,4171,F,True,False
75,2,Brazil,Taina Silva Bigi / Victoria Lopes Pereira Tosta,142873 / 146801,146801,15283,Victoria Lopes Pereira Tosta,2023-04-13,2023-04-16,"Saquarema, Brazil",Challenge,4171,F,True,False
76,3,Brazil,Andressa Cavalcanti Ramalho / Vitoria De Souza Rodrigues,142309 / 156492,142309,14458,Andressa Cavalcanti Ramalho,2023-04-13,2023-04-16,"Saquarema, Brazil",Challenge,4171,F,True,False
77,3,Brazil,Andressa Cavalcanti Ramalho / Vitoria De Souza Rodrigues,142309 / 156492,156492,16883,Vitoria De Souza Rodrigues,2023-04-13,2023-04-16,"Saquarema, Brazil",Challenge,4171,F,True,False
78,1,Poland,Bartosz Losiak / Michal Bryl,122846 / 137237,122846,10444,Bartosz Losiak,2022-03-16,2022-03-20,"Tlaxcala, Mexico",Challenge,3985,M,True,False
79,1,Poland,Bartosz Losiak / Michal Bryl,122846 / 137237,137237,13340,Michal Bryl,2022-03-16,2022-03-20,"Tlaxcala, Mexico",Challenge,3985,M,True,False
80,2,Chile,Vicente Orlando Droguett Torrealba / Noe Aravena,161785 / 172387,161785,18426,Vicente Orlando Droguett Torrealba,2022-03-16,2022-03-20,"Tlaxcala, Mexico",Challenge,3985,M,True,False
81,2,Chile,Vicente Orlando Droguett Torrealba / Noe Aravena,161785 / 172387,172387,20973,Noe Aravena,2022-03-16,2022-03-20,"Tlaxcala, Mexico",Challenge,3985,M,True,False
82,3,Latvia,Aleksandrs Samoilovs / Janis Smedins,104357 / 104449,104357,6770,Aleksandrs Samoilovs,2022-03-16,2022-03-20,"Tlaxcala, Mexico",Challenge,3985,M,True,False
83,3,Latvia,Aleksandrs Samoilovs / Janis Smedins,104357 / 104449,104449,6874,Janis Smedins,2022-03-16,2022-03-20,"Tlaxcala, Mexico",Challenge,3985,M,True,False
84,1,Brazil,George Souto Maior Wanderley / Andre Loyola Stein,142889 / 147009,142889,14454,George Souto Maior Wanderley,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3987,M,True,False
85,1,Brazil,George Souto Maior Wanderley / Andre Loyola Stein,142889 / 147009,147009,15355,Andre Loyola Stein,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3987,M,True,False
86,2,Czechia,Ondrej Perusic / David Schweiner,137346 / 153790,137346,13393,Ondrej Perusic,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3987,M,True,False
87,2,Czechia,Ondrej Perusic / David Schweiner,137346 / 153790,153790,16538,David Schweiner,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3987,M,True,False
88,3,Netherlands,Ruben Penninga / Leon Luini,144112 / 168204,144112,14713,Ruben Penninga,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3987,M,True,False
89,3,Netherlands,Ruben Penninga / Leon Luini,144112 / 168204,168204,20203,Leon Luini,2022-04-14,2022-04-17,"Itapema, Brazil",Challenge,3987,M,True,False
90,1,Poland,Bartosz Losiak / Michal Bryl,122846 / 137237,122846,10444,Bartosz Losiak,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4053,M,True,False
91,1,Poland,Bartosz Losiak / Michal Bryl,122846 / 137237,137237,13340,Michal Bryl,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4053,M,True,False
92,2,Italy,Paolo Nicolai / Samuele Cottafava,118194 / 163923,118194,9059,Paolo Nicolai,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4053,M,True,False
93,2,Italy,Paolo Nicolai / Samuele Cottafava,118194 / 163923,163923,17983,Samuele Cottafava,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4053,M,True,False
94,3,Austria,Martin Ermacora / Moritz Pristauz,137297 / 142473,137297,13344,Martin Ermacora,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4053,M,True,False
95,3,Austria,Martin Ermacora / Moritz Pristauz,137297 / 142473,142473,14710,Moritz Pristauz,2022-05-05,2022-05-08,"Doha, Qatar",Challenge,4053,M,True,False
96,1,Sweden,David Ahman / Jonatan Hellvig,160555 / 166274,160555,17928,David Ahman,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4055,M,True,False
97,1,Sweden,David Ahman / Jonatan Hellvig,160555 / 166274,166274,18278,Jonatan Hellvig,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4055,M,True,False
98,2,Australia,Christopher Mchugh / Paul Burnett,118115 / 155747,118115,8410,Christopher Mchugh,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4055,M,True,False
99,2,Australia,Christopher Mchugh / Paul Burnett,118115 / 155747,155747,16902,Paul Burnett,2022-05-19,2022-05-22,"Kusadasi, Türkiye",Challenge,4055,M,True,False
