DOB,height_in,home_town,player_country,player_id,player_name,resides,total_first,total_forth,total_played,total_points1,total_points2,total_second,total_third
"August 28, 1993 (29 years old)","6'0""",Mie,Japan  ,17318,Suzuka Hashimoto,"Shibuya-ku, Tokyo",2,1,51,"5,059.0", ,1,2
"December 21, 1992 (30 years old)","6'9""",Zaporizhia,Ukraine  ,11533,Vladyslav Iemelianchyk,Zaporizhia,2,0,38,"2,491.0", ,1,2
"June 29, 1985 (37 years old)","6'2""",Sao Joaquim da Barra,Brazil  ,14583,Fernanda Alves,Rio de Janeiro,4,3,59,"12,485.0", ,3,1
"June 23, 1999 (23 years old)","5'9""",Parma,Italy  ,16294,Chiara They,Parma,0,0,3,$0,136.0,0,0
"December 30, 2000 (22 years old)","6'5""",Munich,Germany  ,19549,Benedikt Sagstetter,,0,0,2,180.0,0,0,0
"December 18, 1991 (31 years old)","6'7""",Gothenburg,Sweden  ,17376,Alexander Herrmann,Gothenburg,0,0,11,480.0,0,0,0
"May 25, 1994 (29 years old)","6'0""",Montpellier,France  ,13338,Romain Di Giantommaso,Montpellier,1,0,34,"$13,281.42","2,330.0",0,2
"June 17, 1992 (31 years old)","5'11""",Warsaw,Poland  ,17223,Aleksandra Wachowicz,"Queens County, NY",0,0,34,"4,124.0", ,0,1
"February 6, 1976 (47 years old)","6'7""","Bountiful, UT",United States  ,190,Jake Gibb,"Huntington Beach, CA",7,8,149,0,"$825,687.50",8,8
"June 6, 1988 (35 years old)","6'0""","Colorado Springs, CO",United States  ,10583,Emily Stockman,"Hermosa Beach, CA",3,4,71,"$125,740.20","13,055.0",1,1
"January 7, 1988 (35 years old)","5'11""",Breda,Netherlands  ,6760,Marleen Ramond-van Iersel,GOIRLE,4,12,156,"22,601.0", ,6,10
"October 2, 2002 (20 years old)",,,Israel  ,19879,Yahli Ashush,,0,1,4,430.0,1,0,0
"November 30, 1985 (37 years old)","5'9""",Tokyo,Japan  ,16035,Akiko Hasegawa,"Shibuya-ku, Tokyo",0,1,56,"6,805.0", ,1,1
"December 26, 1999 (23 years old)","6'4""",Salzburg,Austria  ,16874,Paul Pascariuc,Salzburg,0,0,6,450.0,0,0,0
"March 27, 2003 (20 years old)","5'10""",London,Australia  ,19370,Alisha Stevens,Gold Coast,0,1,8,930.0,1,0,0
"September 18, 2000 (22 years old)","6'7""","Swinoujscie
",Poland  ,17919,Milosz Kruk,"Swinoujscie
",0,0,31,"1,745.0", ,1,1
"March 22, 1987 (36 years old)","6'2""",Artyin,Türkiye  ,11531,Volkan Gögtepe,Ä°stanbul,0,1,64,"5,916.0", ,2,1
"February 14, 1995 (28 years old)","5'10""","Costa Mesa, CA",United States  ,13154,Sara Hughes,"Costa Mesa, CA",8,4,65,"13,178.0", ,0,5
"March 20, 1991 (32 years old)","5'10""",Køge,Denmark  ,16979,Simone Marie Okholm Hansen,Copenhangen,0,0,12,585.0,0,0,0
"December 20, 1992 (30 years old)","6'1""","San Diego, CA",United States  ,9309,Summer Ross,"Fort Worth, TX",3,4,85,"$252,600.00","12,695.0",2,4
"February 8, 1990 (33 years old)","6'0""",Liberec,Czech Republic  ,9360,Michala Kvapilová Frank,Prague,0,1,59,"6,576.0", ,1,0
"January 29, 2002 (21 years old)","5'9""",Madrid,Spain  ,16286,Tania Moreno Matveeva,Madrid,0,0,19,"2,130.0", ,0,2
"July 12, 2000 (22 years old)","6'1""",Chieti,Italy  ,17903,Alberto Di Silvestre,Pescara,0,0,3,150.0,0,1,0
"May 15, 1996 (27 years old)","6'4""",Tampere,Finland  ,15009,Santeri Siren,FINLAND,2,2,29,"3,180.0", ,0,3
"May 27, 2002 (21 years old)","6'2""",Odense,Denmark  ,17202,Sofia Nørager Bisgaard,DENMARK,0,1,21,"1,530.0", ,2,0
"April 5, 2000 (23 years old)","5'10""",Vasto,Italy  ,17144,Claudia Scampoli,ITALY,4,1,32,"3,650.0", ,1,2
"November 18, 1993 (29 years old)","5'7""",Tokyo,Japan  ,13075,Chiyo Suzuki,"Shibuya-ku, Tokyo",3,2,35,"3,640.0", ,1,5
"October 15, 1981 (41 years old)","6'2""","Fallbrook, CA",United States  ,6042,Billy Allen,"Rathdrum, ID",0,0,30,"$46,300.00","4,090.0",0,2
"January 4, 1991 (32 years old)","6'6""",Osnabrück,Germany  ,10764,Philipp Arne Bergmann,Stuttgart,1,1,37,"3,984.0", ,1,0
"September 19, 1988 (34 years old)","6'5""",Barrie,Canada  ,11251,Cameron Wheelan,Toronto,0,0,25,0,"$8,200.00",0,1
"February 8, 1997 (26 years old)","5'10""","Buzuluk citi, Orenburgskiy reg.",Russia  ,14717,Daria Mastikova,Moscow,1,0,12,975.0,0,1,1
"July 3, 1990 (32 years old)",,,Italy  ,20869,Giulia Rubini,,0,2,3,260.0,0,0,0
"April 2, 1998 (25 years old)","6'2""",DeZhou,China  ,15010,Xinxin Wang,Beijing,1,1,66,"7,550.0", ,2,0
"July 23, 1996 (26 years old)","6'2""",Rio de Janeiro,Brazil  ,14457,Matheus Maia Terra de Faria,Rio de Janeiro,0,0,4,216.0,0,0,0
"January 29, 1996 (27 years old)","6'0""",Pio Pio,New Zealand  ,14465,Olivia MacDonald,Auckland,0,1,11,515.0,1,0,0
"August 20, 1987 (35 years old)","6'5""",Rio de Janeiro,Brazil  ,10105,Rodrigo Vieira Bernat,Fundos Maracana,0,0,5,210.0,0,1,0
"February 27, 1995 (28 years old)","5'10""",Carrara,Italy  ,13904,Agata Zuccarelli,Rome,0,1,35,"$12,593.01","2,625.0",2,0
"September 4, 1996 (26 years old)",,,Philippines  ,18252,Cherry Ann Rondina,,1,0,3,320.0,0,0,0
"October 30, 1986 (36 years old)","6'2""",Hamburg,Germany  ,17317,Margareta Kozuch,"Milan, Italy",1,0,35,"6,850.0",0,0,1
"March 21, 1982 (41 years old)","5'8""",Taipei County,Chinese Taipei  ,11249,Nai-Han Kou,Taipei ,3,1,24,"1,897.0",1,1,1
"August 22, 1992 (30 years old)","6'4""",Jerusalem,Israel  ,11958,Netanel Amiram Ohana,Jerusalem,0,1,38,"3,135.0", ,2,2
"March 20, 1998 (25 years old)","5'10""",Pogwizdow,Poland  ,15439,Martyna Kloda,Cieszyn,0,2,28,"$7,806.84","1,742.0",1,0
"April 3, 1990 (33 years old)","6'1""",Frankenberg,Germany  ,9419,Paul Becker,Frankenberg,0,1,7,433.0,0,0,0
"August 31, 1992 (30 years old)","6'5""",Kortrijk,Belgium  ,13389,Louis Vandecaveye,Kortrijk,0,0,12,935.0,1,2,0
"April 29, 1990 (33 years old)","6'2""",Arboga,Sweden  ,15707,Martin Appelgren,Gothenburg,0,2,49,"2,269.0", ,0,0
"December 27, 1994 (28 years old)","5'8""",Riga,Latvia  ,13356,Marta Ozolina,Riga,0,1,31,"1,732.0", ,1,0
"January 29, 2002 (21 years old)","6'2""",Chalon,France  ,20347,Tom Altwies,Toulouse,1,0,9,675.0,2,1,0
"March 4, 1987 (36 years old)","6'9""",Khakrov,Russia  ,7738,Alexander Likholetov,Belgrad,1,1,45,"1,784.0", ,0,0
"November 7, 1989 (33 years old)","5'8""",Kanagawa,Japan  ,16036,Miki Ishii Koshikawa,Tokyo ,1,1,65,"10,140.0", ,1,1
"January 18, 1998 (25 years old)","6'3""","Adeje, Tenerife",Spain  ,15403,Óscar Jiménez Gutiérrez,,0,0,5,"$1,000",480.0,1,0
"May 27, 1984 (39 years old)","5'9""",Fortaleza - CE,Brazil  ,6751,Taiana de Souza Lima,Rio de Janeiro,9,8,128,"23,041.0", ,10,4
"November 6, 1991 (31 years old)","6'2""",Tallinn,Estonia  ,16548,Kusti Nõlvak,Tallinn,1,2,54,"7,429.0", ,2,1
"August 11, 2000 (22 years old)","6'5""",Gazit,Israel  ,18496,Eylon Elazar,Gazit,0,0,25,"2,565.0", ,2,2
"April 20, 1980 (43 years old)","6'6""","Manhattan Beach, CA",United States  ,5327,Casey Patterson,"Huntington Beach, CA",2,4,85,24,"$362,712.50",2,3
"June 16, 1990 (33 years old)","6'5""",Kirchdorf,Austria  ,9338,Peter Eglseer,Kremsmünster,0,2,40,"2,126.0", ,2,1
"May 20, 1994 (29 years old)","5'8""",,Argentina  ,15957,Cecilia Peralta,,0,1,7,890.0,1,0,2
"May 29, 1998 (25 years old)","6'3""","Napa, CA",United States  ,16631,Torrey Van Winden,"Napa, CA",0,1,2,103.0,0,0,0
"June 27, 1993 (29 years old)","6'5""",Cesena,Italy  ,14706,Enrico Rossi,ITALY,2,5,58,"10,685.0", ,1,0
"April 6, 1985 (38 years old)","6'5""",Riga,Latvia  ,6770,Aleksandrs Samoilovs,Jurmala,15,6,200,"31,133.0", ,6,8
"October 5, 1998 (24 years old)","6'0""",Aydin,Türkiye  ,16456,Aleyna Vence,Antalya,0,0,6,330.0,1,1,0
"December 21, 1993 (29 years old)","6'4""","Laguna Beach, CA",United States  ,17820,Troy Field,"Laguna Beach, CA",1,0,16,"2,331.0", ,3,0
"April 8, 1995 (28 years old)","6'6""",Thionville,France  ,18144,Jérémy Silvestre,Bertrange,0,0,11,951.0,0,0,0
"September 9, 1995 (27 years old)","5'11""","Saratoga, CA",United States  ,15673,Allie Wheeler,"Saratoga, CA",2,0,11,"1,150.0", ,0,1
"June 19, 1996 (27 years old)","6'3""","s. Poltavka, Omskiy reg.",Russia  ,14261,Maxim Sivolap,Obninsk,2,1,34,"3,108.0", ,3,1
"October 28, 1992 (30 years old)","6'6""",,Brazil  ,16495,Vinícius Gomes Cardoso de Araújo,Rio de Janeiro,0,1,3,220.0,0,0,0
"September 7, 1998 (24 years old)","6'0""",Herentals,Belgium  ,18400,Lisa Van Den Vonder,Antwerp,0,0,2,40.0,0,0,0
"November 1, 1991 (31 years old)","5'11""",Havgesund,Norway  ,15024,Ingrid Lunde,Oslo,0,1,45,"3,377.0", ,0,0
"September 16, 1999 (23 years old)","5'10""","Ivinhema, Mato Grosso",Brazil  ,15283,Victoria Lopes Pereira Tosta,"São Cristovão, Sergipe",2,2,35,"5,805.0",2,1,2
"November 7, 1990 (32 years old)","5'11""",Ostrava,Czech Republic  ,9361,Barbora Hermannová,Prague,6,2,124,"17,723.0", ,4,1
"November 14, 2000 (22 years old)","6'0""",Wiesbaden,Germany  ,17810,Chenoa Christ,,0,0,5,480.0,0,0,0
"May 8, 1995 (28 years old)","6'6""",Geneva,Switzerland  ,13743,Quentin Métral,Troinex,2,0,64,"6,895.0", ,2,2
"July 8, 1995 (27 years old)","6'8""",Zurich,Switzerland  ,14587,Michiel Zandbergen,Zurich,0,0,36,"2,322.0", ,0,1
"October 7, 1972 (50 years old)","6'5""","San Diego, CA",United States  ,1981,John Hyden,"Sherman Oaks, CA",1,1,72,"$264,832.50","10,723.0",2,4
"June 2, 1990 (33 years old)","5'10""",Lublin,Poland  ,8220,Kinga Kolosinska Wojtasik,Lublin,1,1,109,"12,944.0", ,2,1
"July 17, 1990 (32 years old)","6'11""",Rio de Janeiro,Brazil  ,11854,Evandro Gonçalves Oliveira Júnior,Rio de Janeiro,8,6,111,"23,305.0", ,11,3
"October 4, 1989 (33 years old)","6'0""",Unterach,Austria  ,13012,Florian Schnetzer,Unterach,0,3,65,"3,573.0", ,3,1
"March 18, 1985 (38 years old)","6'0""",Rio de Janeiro,Brazil  ,9972,Rachel Nunes,Rio de Janeiro,0,1,6,520.0,0,0,0
"August 7, 1987 (35 years old)","6'6""",Ekeren,Belgium  ,11601,Tom van Walle,TEMSE,1,1,65,"6,996.0", ,0,1
"October 6, 1986 (36 years old)","6'1""",Brasilia,Brazil  ,8539,Bruno Oscar Schmidt,"Vila Velha, ES",17,11,149,"29,325.0", ,10,7
"March 4, 1996 (27 years old)",,,New Zealand  ,21138,Thomas Reid,,0,0,6,740.0,0,0,1
"August 16, 1995 (27 years old)","5'10""","Valencia, CA",United States  ,14113,Delaney Knudsen Mewhirter,"Hermosa Beach, CA",1,0,8,450.0, ,0,0
"January 8, 1985 (38 years old)","6'6""",Victoria,Brazil  ,11120,Luciano Ferreira de Paula,Vila Velha,2,1,19,"1,298.0", ,0,0
"October 4, 1990 (32 years old)",,Santiago,Chile  ,20198,Chris Vorpahl Villablanca,,0,0,9,"1,310.0",1,0,0
"November 3, 1999 (23 years old)","6'0""",Hasle,Switzerland  ,16241,Esmée Böbner,Hasle,1,2,42,"5,895.0", ,3,0
"July 27, 2001 (21 years old)","5'10""",Malaga,Spain  ,18513,Sofía González Racero,Murcia,1,1,17,"$5,896.30","1,790.0",1,0
"September 7, 1981 (41 years old)","5'5""",Fukui,Japan  ,15891,Erika Habaguchi,Kanagawa,0,0,9,605.0,0,0,0
"September 10, 1997 (25 years old)","6'0""",Trento,Italy  ,17259,Francesca Michieletto,Castiglione delle Stiviere,1,0,2,160.0,0,0,0
"November 18, 1995 (27 years old)","5'10""",Mödling,Austria  ,13351,Nadine Strauss,Vienna,0,1,39,"2,678.0", ,0,2
"August 29, 1982 (40 years old)","5'11""",Aquidauana,Brazil  ,5146,Talita Da Rocha Antunes ,Rio de Janeiro,36,20,201,"46,266.0", ,20,19
"June 4, 1990 (33 years old)","5'9""",Curitiba,Brazil  ,18274,Aline Lebioda,Rio de Janeiro,0,1,4,300.0,0,1,0
"June 1, 1989 (34 years old)","5'10""",Auckland,New Zealand  ,9496,Julia Tilley,Tauranga ,0,1,20,"1,014.0",0,1,0
"September 5, 2001 (21 years old)","6'6""",Brno,Czech Republic  ,17150,Matyas Dzavoronok,"Cantu, Italy",1,0,18,"1,600.0", ,0,0
"July 23, 1999 (23 years old)","5'6""",Brno,Czech Republic  ,19252,Miroslava Dunarova,Brno,0,0,4,290.0,0,0,0
"January 10, 1996 (27 years old)","6'4""",Wroclaw,Poland  ,19655,Pawel Lewandowski,Wroclaw,0,1,15,"1,350.0",0,0,0
"May 22, 1991 (32 years old)","5'9""",Riga,Latvia  ,9378,Ilze Liepinlauska,Riga,0,0,10,715.0,0,0,1
"August 3, 1987 (35 years old)","5'10""",Rio de Janeiro,Brazil  ,8022,Bárbara Seixas De Freitas,Rio de Janeiro,12,3,114,"25,544.0", ,13,9
"April 22, 1997 (26 years old)","6'0""",Cagliari,Italy  ,20171,Valentina Cali,Cagliari,0,0,1,80.0,0,0,0
"January 26, 1992 (31 years old)","6'0""","Honolulu, HI",United States  ,13454,Taylor Crabb,"Redondo Beach, CA",1,2,49,"10,285.0", ,0,2
"February 1, 1994 (29 years old)","6'2""",Hamburg,Germany  ,13440,Max-Jonas Karpa,Hamburg,1,0,10,489.0,0,0,0
"December 20, 1982 (40 years old)","6'1""",Vienna,Austria  ,5718,Alexander Horst,Vienna,4,6,163,"22,520.0", ,4,3
"November 29, 1989 (33 years old)","6'0""",Rhenen,Netherlands  ,9485,Madelein Meppelink,The Hague,2,5,122,"18,735.0", ,6,7
"September 15, 1989 (33 years old)","6'4""","Honolulu, HI",United States  ,13453,Trevor Crabb,"Redondo Beach, CA",3,3,57,"10,290.0", ,0,1
"October 21, 1987 (35 years old)","6'3""",Nova Londrina,Brazil  ,16695,Felipe Cavazin Numasawa,Maringá,0,1,2,130.0,0,0,0
"October 13, 1998 (24 years old)","5'11""","Croyde, England",England  ,15428,Anaya Evans,"Phoenix, AZ",0,0,13,720.0, ,0,1
"February 2, 1984 (39 years old)","7'1""","Toms River, NJ",United States  ,11268,Ryan Doherty,"Hermosa Beach, CA",0,2,54,"$168,050.00","8,205.0",2,2
"August 14, 1990 (32 years old)","6'1""",Budapest,Italy  ,11826,Viktoria Orsi Toth,Roma,2,4,80,"12,538.0", ,4,4
"March 14, 1986 (37 years old)","6'2""",Nizwa,Oman  ,9620,Haitham Khalfan Abdulla Alshereiqi,Nizwa,0,0,15,673.0,1,1,0
"March 2, 1994 (29 years old)","6'5""",Keuozug,Germany  ,13439,Max Betzien,Berlin,0,1,24,"1,504.0", ,0,0
"December 3, 1995 (27 years old)","6'4""",Oslo,Norway  ,13274,Christian Sandlie Sørum,Fjerdingby,21,2,74,"18,919.0", ,6,4
"September 4, 1990 (32 years old)","6'2""",Kortrijk,Belgium  ,19685,Maud Catry,Oostakker,0,2,2,140.0,0,0,0
"July 9, 1992 (30 years old)",,,Brazil  ,16489,Álvaro Marcelino Santos Andrade,,0,0,2,110.0,0,0,1
"July 20, 1988 (34 years old)","6'3""",Mauguio,France  ,13724,Edouard Rowlandson,Montpellier,2,2,49,"5,877.0", ,0,3
"October 1, 1991 (31 years old)","5'10""",Saitama,Japan  ,15908,Takumi Takahashi,Tokyo,1,0,31,"2,445.0", ,0,0
"January 10, 1992 (31 years old)","6'3""",Kiel,Germany  ,11635,Lorenz Schümann,Hamburg,0,1,29,"2,037.0", ,1,1
"August 18, 2003 (19 years old)","5'11""",Zaporozhye,Ukraine  ,19531,Tetiana Lazarenko,Zaporozhye,4,0,19,"2,150.0", ,2,4
"August 23, 1980 (42 years old)","6'1""",Agh Ghala,Iran  ,11805,Aghamohammad Salagh,Agh Ghala,0,0,10,574.0,0,0,1
"August 1, 1995 (27 years old)","6'3""",Vladivostok,Russia  ,13720,Igor Velichko,Obninsk,3,0,29,"4,318.0", ,1,2
"August 20, 1993 (29 years old)","6'1""",Rio de Janeiro,Brazil  ,11727,"Gustavo ""Guto"" Albrecht Carvalhaes",Rio de Janeiro,3,2,69,"12,922.0", ,3,5
"May 11, 1997 (26 years old)","5'10""","Ponte Vedra Beach, FL",United States  ,16376,Corinne Quiggle,"Manhattan Beach, CA",1,0,24,"3,820.0", ,2,1
"April 27, 1994 (29 years old)","5'11""",Havana,Cuba  ,13741,Leila Consuelo Martinez Ortega,Havana,1,0,16,"1,580.0", ,0,0
"December 23, 1995 (27 years old)","6'6""",Loxton,Australia  ,14444,Zachery Schubert,Ascot Park,1,1,43,"6,036.0", ,3,2
"February 1, 1988 (35 years old)","6'2""",Maribor,Slovenia  ,10129,Nejc Zemljak,Ljubljana,2,3,47,"3,728.0", ,2,0
"August 25, 1987 (35 years old)","5'11""",Zaporizhia,Ukraine  ,8506,Valentyna Zmiyevska Davidova,Zaporizhia,1,2,39,"4,372.0", ,1,0
"September 14, 1987 (35 years old)","6'3""",Aktau,Kazakhstan  ,8640,Alexey Kuleshov,Aktau,0,1,55,"1,833.0", ,0,0
"February 5, 1986 (37 years old)","6'2""",Milan,Italy  ,16546,Andrea Abbiati,Cusano Milanino (MI),1,0,21,"2,230.0",0,0,1
"June 30, 1994 (28 years old)","5'9""",Bangkok,Thailand  ,11932,Rumpaipruet Numwong,Bangkok,0,2,58,"3,797.0", ,0,2
June 27th,"6'0""","Zaporozhye
",Ukraine  ,19530,Anhelina Khmil,Zaporozhye,1,0,3,230.0,0,0,1
"March 5, 1993 (30 years old)","6'3""",Kumamoto,Japan  ,18096,Jumpei Ikeda,Tokyo,0,0,17,"1,040.0",1,1,1
"April 8, 1992 (31 years old)","6'0""","San Diego, CA",United States  ,16319,Kelly Reeves,"San Diego County, CA",0,0,15,"1,380.0", ,1,0
"July 21, 1993 (29 years old)","5'9""",Kaunas,Lithuania  ,16762,Vytene Vitkauskaite,Kaunas,0,0,4,215.0,0,0,0
"January 13, 1986 (37 years old)","5'10""",Berlin,Germany  ,6704,Laura Ludwig,Hamburg,13,6,162,"28,620.0", ,11,10
"March 10, 1997 (26 years old)","6'1""",Xinjiang,China  ,19002,Jingzhe Wang,Chang Ji,5,0,7,"1,320.0",0,0,1
"January 19, 1997 (26 years old)","5'10""",Daugavpils,Latvia  ,14774,Anastasija Kravcenoka Samoilova,Daugavpils,0,5,45,"9,590.0", ,2,1
"April 8, 1992 (31 years old)","5'8""",Wels,Austria  ,16988,Stephanie Wiesmeyr,Graz,0,0,24,"1,450.0", ,1,0
"June 23, 2004 (18 years old)","6'0""",Helsinki,Finland  ,19512,Sara Sinisalo,,0,1,18,"1,805.0", ,0,1
"March 4, 1992 (31 years old)","6'5""",Saalfelden,Austria  ,13301,Julian Hörl,Wien,2,3,67,"7,033.0", ,1,1
"May 30, 1987 (36 years old)","6'1""",Brugge,Belgium  ,11595,Els Vandesteene,Nieuwpoort,0,2,3,210.0,1,0,0
"February 20, 1993 (30 years old)","6'7""",Mangistauskaya,Kazakhstan  ,10773,Sergey Bogatu,Aktau,0,1,20,777.0,0,0,1
"April 23, 2004 (19 years old)","6'7""",Martigues,France  ,19775,Téo Rotar,Martigues,1,0,10,"1,545.0",0,0,1
"October 15, 1993 (29 years old)","5'11""",The Hague,Netherlands  ,18617,Casper Haanappel,,0,0,1,80.0,0,0,1
"January 17, 1997 (26 years old)","6'2""",Tenerife,Spain  ,14800,Javier Huerta Pastor,Lorca,1,2,26,"$9,473.00","2,745.0",0,2
"March 13, 2001 (22 years old)",,,Austria  ,18859,Laurenc Grössig,,0,0,1,$0,70.0,0,0
"January 10, 2004 (19 years old)",,	Wiener Neustadt,Austria  ,20388,Timo Hammarberg,Wiener Neustadt,0,0,2,$0,110.0,0,0
"May 1, 1987 (36 years old)","5'8""","Muyinga, Burundi",Rwanda  ,12809,Judith Hakizimana,Kigali,0,1,2,150.0,0,0,0
"August 27, 1992 (30 years old)","6'3""",Reichenburg,Switzerland  ,11625,Tanja Hüberli,Reichenburg,1,3,99,"17,805.0", ,3,6
"December 5, 1998 (24 years old)","6'1""",Basel,Switzerland  ,14784,Florian Breer,Basel,2,2,46,"6,024.0", ,2,2
"April 1, 1988 (35 years old)","5'10""",Babite,Latvia  ,16793,Agnese Caica,BabÄ«te,0,0,9,545.0,0,0,0
"December 7, 1995 (27 years old)","5'11""",Riga,Latvia  ,20189,Luize Skrastina,Riga,0,0,4,390.0,1,0,0
"November 4, 1992 (30 years old)","6'3""",Beil,Switzerland  ,11642,Gabriel Kissling,Kappelen,0,0,44,"2,483.0", ,1,1
"August 3, 1994 (28 years old)","5'8""",Oslo,Norway  ,13279,Victoria Faye Kjølberg,Oslo,0,0,44,"3,162.0", ,1,1
"June 9, 1990 (33 years old)","6'2""","Phelan, CA",United States  ,8129,Caitlin Ledoux,"Phelan, CA",1,1,28,"2,161.0", ,2,1
"September 8, 1998 (24 years old)","5'10""","Rancho Santa Fe, CA",United States  ,17552,Savvy Simo,"Rancho Santa Fe, CA",1,0,12,"2,375.0", ,1,0
"August 16, 1990 (32 years old)","5'11""",Rovigo,Italy  ,7849,Marta Menegatti,Ariano Polesine,3,10,148,"23,585.0", ,11,8
"February 12, 1999 (24 years old)","5'10""",Budapest,Italy  ,15434,Reka Orsi Toth,Rome,0,1,16,"$3,346.67","1,496.0",0,2
"December 6, 1992 (30 years old)","6'1""",Saint Petersburg,Russia  ,19111,Vladislav Ermilov,Saint Petersburg,0,0,2,130.0,0,1,0
"November 19, 2000 (22 years old)","6'6""",Pietra Ligue,Netherlands  ,20203,Leon Luini,The Hague,0,0,17,"3,825.0",1,0,1
"November 13, 2000 (22 years old)","6'4""",Leidschendam,Netherlands  ,18143,Matthew Immers,The Hague,1,2,25,"4,905.0", ,2,3
"May 22, 2002 (21 years old)","6'9""",Hamburg,Germany  ,20455,Philipp Huster,,1,0,8,740.0,0,0,0
"October 13, 1995 (27 years old)","6'3""",Tauranga,New Zealand  ,13751,Bradley Fuller,,1,0,6,750.0,1,1,0
"September 11, 1997 (25 years old)","6'6""",Arnhem (Gelderland),Netherlands  ,14713,Ruben Penninga,Den Haag (Zuid-Holland),0,1,47,"6,070.0", ,1,2
"November 13, 1996 (26 years old)","6'2""",Sperlonga,Italy  ,17576,Arianna Barboni,Sperlonga,0,0,10,670.0,0,0,0
"December 23, 1993 (29 years old)","5'6""","Musanga, Nyange, North",Rwanda  ,12810,Charlotte Nzayisenga,Kigali ,0,1,5,332.0,0,0,0
"September 8, 1993 (29 years old)","6'8""",Mato Grosso,Brazil  ,14052,Saymon Barbosa Santos,Rio de Janeiro,2,2,61,"10,294.0", ,1,5
"June 4, 2001 (22 years old)","6'4""",Kedzierzyn-Kozle,Poland  ,18903,Mateusz Florczyk,Kedzierzyn-Kozle,2,1,19,"1,455.0", ,1,0
"January 8, 1994 (29 years old)","5'6""",Gianyar ,Indonesia  ,17366,Putu Utami,Mataram,0,1,7,610.0,0,0,1
"July 1, 1992 (30 years old)","5'10""","Lausanne, Switzerland",Canada  ,14956,Brandie Wilkerson,"Redondo Beach, CA",4,0,64,16,"$224,075.00",2,5
