city,country,date,gender,p1_player_1_id,p1_player_1_name,p1_player_2_id,p1_player_2_name,p2_player_1_id,p2_player_1_name,p2_player_2_id,p2_player_2_name,p3_player_1_id,p3_player_1_name,p3_player_2_id,p3_player_2_name,p4_player_1_id,p4_player_1_name,p4_player_2_id,p4_player_2_name,season_title,tournament_id,year
Montpellier, France,Sep 7-9,M,11750,Jan Pokersnik,10129,Nejc Zemljak,13393,Ondrej Perusic,16538,David Schweiner,17129,Quincy Aye,15029,Youssef Krou,13763,Djordje Klasnic,15915,Lazar Kolaric,Volleyball World Beach Pro Tour 2018 Season Summary,3400,2018
Bandar Torkaman, Iran,Oct 1-4,M,17546,Nuttanon Inkiew,13843,Intuch Techakijvorakul,16934,Alireza Aghajani,17338,Javad Firouzpourbandpei,15951,Bahman Salemi,16552,Arash Vakili,10957,Hitoshi Murakami,17403,Takashi Tsuchiya,Volleyball World Beach Pro Tour 2020 Season Summary,3735,2020
Qinzhou, China,Oct 11-15,M,14261,Maxim Sivolap,13720,Igor Velichko,7145,Lombardo Ontiveros,8011,Juan Virgen,14857,Nivaldo Diaz,9402,Sergio Gonzalez,11600,Dries Koekelkoren,11601,Tom van Walle,Volleyball World Beach Pro Tour 2018 Season Summary,3318,2018
Qinzhou, China,Oct 11-15,W,8395,Mariafe Artacho,10795,Taliqua Clancy,12452,Katarzyna Kociolek,8220,Kinga Wojtasik,9309,Summer Ross,8047,Brooke Sweat,11612,Fan Wang,14924,Xinyi Xia,Volleyball World Beach Pro Tour 2018 Season Summary,3319,2018
Qinzhou, China,Oct 29-Nov 3,W,9100,Karla Borger,8417,Julia Sude,8047,Brooke Sweat,1923,Kerri Walsh Jennings,19002,Jingzhe Wang,17591,Shuhui Wen,8395,Mariafe Artacho,10795,Taliqua Clancy,Volleyball World Beach Pro Tour 2020 Season Summary,3732,2020
Qinzhou, China,Oct 30-Nov 3,M,11641,Mirco Gerson,14650,Adrian Heidrich,13344,Martin Ermacora,14710,Moritz Pristauz,9443,Valeriy Samoday,13720,Igor Velichko,10787,Ruslan Bykanov,7738,Alexander Likholetov,Volleyball World Beach Pro Tour 2020 Season Summary,3731,2020
Aalsmeer, Netherlands,Oct 25-29,M,15116,Marco Caminati,14706,Enrico Rossi,13467,Miles Evans,11507,Billy Kolinske,11420,Murat Giginoglu,15049,Hasan Mermer,15967,Oleksii Denin,9444,Sergiy Popov,Volleyball World Beach Pro Tour 2018 Season Summary,3407,2018
Aalsmeer, Netherlands,Oct 25-29,W,9485,Madelein Meppelink,13779,Joy Stubbe,13144,Sandra Ittlinger,11760,Kim Van de Velde,12974,Betsi Flint,15139,Kelley Kolinske,16036,Miki Ishii,13080,Megumi Murakami,Volleyball World Beach Pro Tour 2018 Season Summary,3408,2018
Tel Aviv, Israel,Nov 6-9,M,17983,Samuele Cottafava,16802,Jakob Windisch,8930,Daniel Thomsen,15557,Martin Trans Hansen,16748,Aleksandr Kramarenko,6883,Serguei Prokopiev,14289,Sean Faiga,11958,Netanel Ohana,Volleyball World Beach Pro Tour 2020 Season Summary,3741,2020
Tel Aviv, Israel,Nov 6-9,W,16621,Reika Murakami,17046,Kaho Sakaguchi,11663,Line Hansen,16979,Okholm Hansen,6711,Alexandra Moiseeva,12509,Ekaterina Syrtseva,15095,Eva Freiberger,13030,Valerie Teufl,Volleyball World Beach Pro Tour 2020 Season Summary,3742,2020
Sydney, Australia,Nov 22-25,M,11725,Grant O'Gorman,7080,Ben Saxton,17129,Quincy Aye,15029,Youssef Krou,13467,Miles Evans,11507,Billy Kolinske,8410,Christopher McHugh,11185,Damien Schumann,Volleyball World Beach Pro Tour 2018 Season Summary,3409,2018
Sydney, Australia,Nov 23-26,W,8395,Mariafe Artacho,10795,Taliqua Clancy,11612,Fan Wang,14924,Xinyi Xia,11650,Lena Plesiutschnig,11649,Katharina Schutzenhofer,17139,Azusa Futami,16035,Akiko Hasegawa,Volleyball World Beach Pro Tour 2018 Season Summary,3410,2018
Doha, Qatar,Nov 12-15,M,19403,Jedrzej Brozyniak,9144,Piotr Janiak,15529,Petr Bakhnar,7513,Yury Bogatov,17928,David Ahman,18278,Jonatan Hellvig,18132,Nouh Al-Jalbubi,18133,Mazin Alhashmi,Volleyball World Beach Pro Tour 2020 Season Summary,3727,2020
Chetumal, Mexico,Nov 13-17,M,13454,Taylor Crabb,190,Jake Gibb,9129,Alexander Brouwer,9130,Robert Meeuwsen,13699,Tri Bourne,13453,Trevor Crabb,9556,Alexander Walkenhorst,15725,Sven Winter,Volleyball World Beach Pro Tour 2020 Season Summary,3733,2020
Doha, Qatar,Feb 23-26,M,15097,Cherif Samba,15096,Ahmed Tijan,14785,Yves Haussener,13743,Quentin Metral,17711,Alexey Gusev,17710,Pavel Shustrov,11420,Murat Giginoglu,11531,Volkan Gogtepe,Volleyball World Beach Pro Tour 2021 Season Summary,3899,2021
The Hague, Netherlands,Jan 2-7,W,7091,Alix Klineman,7389,April Ross,8003,Maria Antonelli,5887,Carol Salgado,13151,Nina Brunner,11625,Tanja Huberli,9361,Barbora Hermannova,7763,Marketa Slukova,Volleyball World Beach Pro Tour 2018 Season Summary,3412,2018
The Hague, Netherlands,Jan 3-7,M,6769,Martins Plavins,12433,Edgars Tocs,10443,Piotr Kantor,10444,Bartosz Losiak,9129,Alexander Brouwer,9130,Robert Meeuwsen,15089,Jasper Bouter,9429,Christiaan Varenhorst,Volleyball World Beach Pro Tour 2018 Season Summary,3411,2018
Chetumal, Mexico,Nov 13-17,W,8395,Mariafe Artacho,10795,Taliqua Clancy,11612,Fan Wang,14924,Xinyi Xia,5292,Sanne Keizer,9485,Madelein Meppelink,5146,Talita Antunes,6751,Taiana Lima,Volleyball World Beach Pro Tour 2020 Season Summary,3734,2020
Qeshm, Iran,Jan 7-10,M,16934,Alireza Aghajani,17338,Javad Firouzpourbandpei,15951,Bahman Salemi,16552,Arash Vakili,15996,Abolhamed Mirzaali,11808,Rahman Raoufi,19678,Saifeddine Elmajid,17700,Benlouaer Ziad,Volleyball World Beach Pro Tour 2020 Season Summary,3743,2020
Doha, Qatar,Mar 8-12,M,13393,Ondrej Perusic,16538,David Schweiner,11727,Guto Carvalhaes,11854,Evandro Goncalves,13454,Taylor Crabb,190,Jake Gibb,5214,Phil Dalhausser,1931,Nick Lucena,Volleyball World Beach Pro Tour 2021 Season Summary,3897,2021
Siofok, Hungary,Aug 23-26,M,13338,Romain Di Giantommaso,18144,Jeremy Silvestre,14675,Matas Navickas,17181,Patrikas Stankevicius,16262,Robin Sowa,14809,Eric Stadie,13763,Djordje Klasnic,18331,Marko Plavsic,Volleyball World Beach Pro Tour 2019 Season Summary,3547,2019
Tlaxcala, Mexico,Mar 16-20,M,13340,Michal Bryl,10444,Bartosz Losiak,20973,Noe Aravena,18426,Vicente Droguett,6770,Aleksandrs Samoilovs,6874,Janis Smedins,9345,Vitor Felipe,16878,Renato Lima,Volleyball World Beach Pro Tour 2022 Season Summary,3985,2022
Shepparton, Australia,Feb 1-4,M,10329,Avery Drost,16657,Chase Frishman,8410,Christopher McHugh,11185,Damien Schumann,10757,Cole Durant,14444,Zachery Schubert,10963,Armin Dollinger,16263,Simon Kulzer,Volleyball World Beach Pro Tour 2018 Season Summary,3413,2018
Shepparton, Australia,Feb 1-4,W,14159,Amanda Lawson,13811,Irene Pollock,8129,Caitlin Ledoux,13300,Jace Pardon,8503,Laura Giombini,7849,Marta Menegatti,15017,Shaunna Polley,10810,Kelsie Wills,Volleyball World Beach Pro Tour 2018 Season Summary,3414,2018
Cook Islands, Cook Islands,Jan 14-17,M,13114,Griffin Muller,9436,Sam O'Dea,13414,Christopher Austin,16410,Earl Schultz,16000,Travis Mewhirter,182,Adam Roberts,10957,Hitoshi Murakami,17403,Takashi Tsuchiya,Volleyball World Beach Pro Tour 2020 Season Summary,3744,2020
Siem Reap, Cambodia,Feb 6-9,W,5237,Lauren Fendrick,13154,Sara Hughes,17069,Terese Cannon,16319,Kelly Reeves,18189,Yurika Sakaguchi,13075,Chiyo Suzuki,17202,Sofia Bisgaard,12391,Cecilie Olsen,Volleyball World Beach Pro Tour 2020 Season Summary,3746,2020
Doha, Qatar,Mar 8-12,W,7091,Alix Klineman,7389,April Ross,10798,Melissa Humana-Paredes,14304,Sarah Pavan,6641,Agatha Bednarczuk,13802,Duda Lisboa,15139,Kelley Kolinske,10583,Emily Stockman,Volleyball World Beach Pro Tour 2021 Season Summary,3898,2021
Cancun, Mexico,Apr 16-20,M,14741,Anders Mol,13274,Christian Sorum,15097,Cherif Samba,15096,Ahmed Tijan,13393,Ondrej Perusic,16538,David Schweiner,13344,Martin Ermacora,14710,Moritz Pristauz,Volleyball World Beach Pro Tour 2021 Season Summary,3900,2021
Cancun, Mexico,Apr 16-20,W,5146,Talita Antunes,6751,Taiana Lima,10798,Melissa Humana-Paredes,14304,Sarah Pavan,6641,Agatha Bednarczuk,13802,Duda Lisboa,9373,Chantal Laboureur,11838,Cinja Tillmann,Volleyball World Beach Pro Tour 2021 Season Summary,3901,2021
Siofok, Hungary,Aug 23-26,W,13360,Tjasa Jancar,17653,Tjasa Kotnik,18707,Sara Cavretti,18167,Sofia Wahlen,14437,Satono Ishitsubo,18396,Asami Shiba,18100,Agata Ceynowa,15439,Martyna Kloda,Volleyball World Beach Pro Tour 2019 Season Summary,3548,2019
Montpellier, France,Aug 28-Sep 1,M,17320,Olivier Barthelemy,13724,Edouard Rowlandson,17129,Quincy Aye,15029,Youssef Krou,13338,Romain Di Giantommaso,18144,Jeremy Silvestre,14784,Florian Breer,14785,Yves Haussener,Volleyball World Beach Pro Tour 2019 Season Summary,3549,2019
Montpellier, France,Aug 28-Sep 1,W,6955,Alexandra Jupiter,15613,Lezana Placette,16241,Esmee Bobner,16243,Zoe Verge-Depre,13150,Nicole Eiholzer,16745,Elena Steinemann,8801,Laura Longuet,14341,Ophelie Lusson,Volleyball World Beach Pro Tour 2019 Season Summary,3550,2019
Tlaxcala, Mexico,Mar 16-20,W,5887,Carol Salgado,8022,Barbara Seixas,16919,Raisa Schoon,16917,Katja Stam,18464,Thamela Coradelli,9593,Elize Maia,18268,Hegeile Almeida,6751,Taiana Lima,Volleyball World Beach Pro Tour 2022 Season Summary,3986,2022
Rosarito, Mexico,Mar 23-27,M,15097,Cherif Samba,15096,Ahmed Tijan,9129,Alexander Brouwer,9130,Robert Meeuwsen,14741,Anders Mol,13274,Christian Sorum,13340,Michal Bryl,10444,Bartosz Losiak,Volleyball World Beach Pro Tour 2022 Season Summary,3961,2022
Rosarito, Mexico,Mar 23-27,W,16919,Raisa Schoon,16917,Katja Stam,14462,Tina Graudina,14774,Anastasija Samoilova,5146,Talita Antunes,11610,Rebecca Cavalcanti,14478,Kelly Cheng,12974,Betsi Flint,Volleyball World Beach Pro Tour 2022 Season Summary,3962,2022
Kish Island, Iran,Feb 20-24,M,6959,Mariusz Prudel,7843,Jakub Szalankiewicz,6769,Martins Plavins,12433,Edgars Tocs,9556,Alexander Walkenhorst,15725,Sven Winter,13301,Julian Horl,12379,Tobias Winter,Volleyball World Beach Pro Tour 2018 Season Summary,3415,2018
Fort Lauderdale, United States,Feb 27-Mar 4,M,5214,Phil Dalhausser,1931,Nick Lucena,9422,Daniele Lupo,9059,Paolo Nicolai,6770,Aleksandrs Samoilovs,6874,Janis Smedins,6767,Pedro Solberg,14454,George Wanderley,Volleyball World Beach Pro Tour 2018 Season Summary,3416,2018
Phnom Penh, Cambodia,Feb 20-23,M,8410,Christopher McHugh,11185,Damien Schumann,11730,Christoph Dressler,6836,Alexander Huber,17157,Lukas Pfretzschner,16262,Robin Sowa,17148,Laurenz Leitner,13012,Florian Schnetzer,Volleyball World Beach Pro Tour 2020 Season Summary,3747,2020
Guam, Guam,Mar 5-8,W,18189,Yurika Sakaguchi,13075,Chiyo Suzuki,16015,Kimberly Hildreth,16898,Sarah Schermerhorn,17318,Suzuka Hashimoto,9082,Ayumi Shiratori,18522,Megan Kraft,18794,Delaynie Maple,Volleyball World Beach Pro Tour 2020 Season Summary,3748,2020
Cancun, Mexico,Apr 22-26,M,14741,Anders Mol,13274,Christian Sorum,15097,Cherif Samba,15096,Ahmed Tijan,7998,Alison Cerutti,9344,Alvaro Filho,8338,Adrian Carambula,14706,Enrico Rossi,Volleyball World Beach Pro Tour 2021 Season Summary,3902,2021
Cancun, Mexico,Apr 22-26,W,6641,Agatha Bednarczuk,13802,Duda Lisboa,15000,Svetlana Kholomina,13715,Nadezda Makroguzova,7091,Alix Klineman,7389,April Ross,5292,Sanne Keizer,9485,Madelein Meppelink,Volleyball World Beach Pro Tour 2021 Season Summary,3903,2021
Zhongwei, China,Sep 14-16,W,19002,Jingzhe Wang,17591,Shuhui Wen,11612,Fan Wang,7238,Chen Xue,9593,Elize Maia,1900,Maria Clara Salgado,14923,Meimei Lin,13682,Lingdi Zhu,Volleyball World Beach Pro Tour 2019 Season Summary,3553,2019
Qinzhou, China,Sep 30-Oct 4,M,13699,Tri Bourne,13453,Trevor Crabb,15487,Taras Myskiv,9443,Valeriy Samoday,11600,Dries Koekelkoren,11601,Tom van Walle,10757,Cole Durant,11185,Damien Schumann,Volleyball World Beach Pro Tour 2019 Season Summary,3535,2019
Qinzhou, China,Sep 30-Oct 4,W,11610,Rebecca Cavalcanti,15329,Ana Patricia Silva,7849,Marta Menegatti,11826,Viktoria Orsi Toth,14478,Kelly Cheng,14959,Sarah Sponcil,8994,Ekaterina Birlova,7757,Evgenia Ukolova,Volleyball World Beach Pro Tour 2019 Season Summary,3536,2019
Coolangatta, Australia,Mar 30-Apr 3,M,20001,Izac Carracher,17335,Mark Nicolaidis,15321,Jake MacNeil,19884,Alexander Russell,14442,Maximilian Guehrer,14389,Thomas Hodges,19655,Pawel Lewandowski,20527,Jakub Zdybek,Volleyball World Beach Pro Tour 2022 Season Summary,4051,2022
Coolangatta, Australia,Mar 30-Apr 3,W,20804,Taryn Kloth,17607,Kristen Nuss,14447,Phoebe Bell,11836,Nicole Laird,14958,Zana Muno,19441,Toni Rodriguez,17318,Suzuka Hashimoto,16621,Reika Murakami,Volleyball World Beach Pro Tour 2022 Season Summary,4052,2022
Fort Lauderdale, United States,Feb 27-Mar 4,W,14583,Fernanda Alves,8022,Barbara Seixas,11651,Carolina Horta,6751,Taiana Lima,9309,Summer Ross,8047,Brooke Sweat,10805,Victoria Bieneck,10827,Isabel Schneider,Volleyball World Beach Pro Tour 2018 Season Summary,3417,2018
Doha, Qatar,Mar 6-10,M,9129,Alexander Brouwer,9130,Robert Meeuwsen,14263,Oleg Stoyanovskiy,13720,Igor Velichko,15097,Cherif Samba,15096,Ahmed Tijan,5214,Phil Dalhausser,1931,Nick Lucena,Volleyball World Beach Pro Tour 2018 Season Summary,3418,2018
Doha, Qatar,Mar 9-13,M,13340,Michal Bryl,8758,Grzegorz Fijalek,15325,Josue Gaxiola,15326,Jose Rubio,9422,Daniele Lupo,9059,Paolo Nicolai,11854,Evandro Goncalves,8539,Bruno Schmidt,Volleyball World Beach Pro Tour 2020 Season Summary,3754,2020
Langkawi, Malaysia,Mar 12-15,M,19403,Jedrzej Brozyniak,9144,Piotr Janiak,17375,Alexander Annerstedt,19197,Martin Johansson,18177,Ya-Jen Hsieh,18176,Chin-Ju Wang,18166,Dunwinit Kaewsai,11021,Prathip Sukto,Volleyball World Beach Pro Tour 2020 Season Summary,3755,2020
Cancun, Mexico,Apr 28-May 2,M,15097,Cherif Samba,15096,Ahmed Tijan,14524,Ilya Leshukov,11053,Konstantin Semenov,5214,Phil Dalhausser,1931,Nick Lucena,8338,Adrian Carambula,14706,Enrico Rossi,Volleyball World Beach Pro Tour 2021 Season Summary,3904,2021
Cancun, Mexico,Apr 28-May 2,W,8395,Mariafe Artacho,10795,Taliqua Clancy,6641,Agatha Bednarczuk,13802,Duda Lisboa,7091,Alix Klineman,7389,April Ross,10798,Melissa Humana-Paredes,14304,Sarah Pavan,Volleyball World Beach Pro Tour 2021 Season Summary,3905,2021
Sofia, Bulgaria,May 20-23,M,13027,Maksim Hudyakov,16748,Aleksandr Kramarenko,18904,Jakub Nowak,13069,Maciej Rudol,17921,Hugo Campos,16860,Joao Pedrosa,19403,Jedrzej Brozyniak,9144,Piotr Janiak,Volleyball World Beach Pro Tour 2021 Season Summary,3906,2021
Bandar Torkaman, Iran,Oct 3-5,M,15951,Bahman Salemi,16552,Arash Vakili,15996,Abolhamed Mirzaali,11808,Rahman Raoufi,16039,Abbas Pourasgari,11805,Aghamohammad Salagh,8640,Alexey Kuleshov,16429,Artem Petrossyants,Volleyball World Beach Pro Tour 2019 Season Summary,3554,2019
Yangzhou, China,Oct 9-14,M,14524,Ilya Leshukov,11053,Konstantin Semenov,10745,Viacheslav Krasilnikov,14263,Oleg Stoyanovskiy,14052,Saymon Barbosa,11727,Guto Carvalhaes,8789,Sam Pedlow,9346,Sam Schachter,Volleyball World Beach Pro Tour 2019 Season Summary,3447,2019
Babolsar, Iran,Oct 9-12,M,15996,Abolhamed Mirzaali,11808,Rahman Raoufi,8249,Alexandr Dyachenko,8144,Alexey Sidorenko,16934,Alireza Aghajani,16039,Abbas Pourasgari,16443,Gasper Plahutnik,11749,Danijel Pokersnik,Volleyball World Beach Pro Tour 2019 Season Summary,3555,2019
Itapema, Brazil,Apr 14-17,M,15355,Andre Loyola,14454,George Wanderley,13393,Ondrej Perusic,16538,David Schweiner,20203,Leon Luini,14713,Ruben Penninga,16548,Kusti Nolvak,16549,Mart Tiisaar,Volleyball World Beach Pro Tour 2022 Season Summary,3987,2022
Itapema, Brazil,Apr 14-17,W,13154,Sara Hughes,15139,Kelley Kolinske,16919,Raisa Schoon,16917,Katja Stam,14458,Andressa Cavalcanti,16883,Vitoria De Souza,9100,Karla Borger,8417,Julia Sude,Volleyball World Beach Pro Tour 2022 Season Summary,3988,2022
Muscat, Oman,Mar 14-17,M,10764,Philipp Bergmann,16355,Yannick Harms,11808,Rahman Raoufi,15951,Bahman Salemi,16546,Andrea Abbiati,10736,Tiziano Andreatta,18132,Nouh Al-Jalbubi,18133,Mazin Alhashmi,Volleyball World Beach Pro Tour 2018 Season Summary,3419,2018
Aalsmeer, Netherlands,Mar 15-18,M,9129,Alexander Brouwer,9130,Robert Meeuwsen,15089,Jasper Bouter,9429,Christiaan Varenhorst,10778,Dirk Boehle,13566,Steven van de Velde,11848,Ben O'Dea,9436,Sam O'Dea,Volleyball World Beach Pro Tour 2018 Season Summary,3420,2018
Langkawi, Malaysia,Mar 12-15,W,11249,Nai-Han Kou,12690,Pi Hsin Liu,15752,Dorina Klinger,16881,Ronja Klinger,16621,Reika Murakami,17046,Kaho Sakaguchi,18189,Yurika Sakaguchi,13075,Chiyo Suzuki,Volleyball World Beach Pro Tour 2020 Season Summary,3756,2020
Ljubljana, Slovenia,Jul 30-Aug 2,M,16546,Andrea Abbiati,10736,Tiziano Andreatta,2106,Clemens Doppler,5718,Alexander Horst,11730,Christoph Dressler,6836,Alexander Huber,17032,Tadej Bozenk,17764,Vid Jakopin,Volleyball World Beach Pro Tour 2020 Season Summary,3834,2020
Ljubljana, Slovenia,Jul 30-Aug 2,W,11663,Line Hansen,17201,Clara Windeleff,17202,Sofia Bisgaard,12391,Cecilie Olsen,18078,Sarah Cools,18400,Lisa Van Den Vonder,18504,Varvara Brailko,17941,Anete Namike,Volleyball World Beach Pro Tour 2020 Season Summary,3835,2020
Sofia, Bulgaria,May 20-23,W,16376,Corinne Quiggle,15673,Allie Wheeler,11696,Norisbeth Agudo,14540,Gabi Brito,15752,Dorina Klinger,16881,Ronja Klinger,17898,Daria Gusarova,4888,Erika Nystrom,Volleyball World Beach Pro Tour 2021 Season Summary,3907,2021
Sochi, Russia,May 25-30,M,10443,Piotr Kantor,10444,Bartosz Losiak,15097,Cherif Samba,15096,Ahmed Tijan,13566,Steven van de Velde,9429,Christiaan Varenhorst,8338,Adrian Carambula,14706,Enrico Rossi,Volleyball World Beach Pro Tour 2021 Season Summary,3908,2021
Sochi, Russia,May 25-29,W,14478,Kelly Cheng,14959,Sarah Sponcil,13151,Nina Brunner,11625,Tanja Huberli,15000,Svetlana Kholomina,13715,Nadezda Makroguzova,14462,Tina Graudina,14774,Anastasija Samoilova,Volleyball World Beach Pro Tour 2021 Season Summary,3909,2021
Yangzhou, China,Oct 10-14,W,7091,Alix Klineman,7389,April Ross,11610,Rebecca Cavalcanti,15329,Ana Patricia Silva,13154,Sara Hughes,9309,Summer Ross,10798,Melissa Humana-Paredes,14304,Sarah Pavan,Volleyball World Beach Pro Tour 2019 Season Summary,3448,2019
Bandar Anzali, Iran,Oct 16-19,M,8249,Alexandr Dyachenko,8144,Alexey Sidorenko,15951,Bahman Salemi,16552,Arash Vakili,15996,Abolhamed Mirzaali,11808,Rahman Raoufi,16934,Alireza Aghajani,16039,Abbas Pourasgari,Volleyball World Beach Pro Tour 2019 Season Summary,3556,2019
Songkhla, Thailand,Apr 14-17,M,17316,Davide Benzi,16986,Carlo Bonifazi,18352,Andy Benesh,13467,Miles Evans,11848,Ben O'Dea,21138,Thomas Reid,13301,Julian Horl,5718,Alexander Horst,Volleyball World Beach Pro Tour 2022 Season Summary,4067,2022
Songkhla, Thailand,Apr 14-17,W,8018,Varapatsorn Radarong,8021,Tanarattha Udomchavee,20603,Non Matsumoto,20602,Ren Matsumoto,19780,Alina Dormann,16617,Amanda Harnett,17512,Caitlin Bettenay,19370,Alisha Stevens,Volleyball World Beach Pro Tour 2022 Season Summary,4068,2022
Satun, Thailand,Apr 8-11,M,17546,Nuttanon Inkiew,13843,Intuch Techakijvorakul,14509,Mohammad Ashfiya,15022,Candra Rachmawan,15996,Abolhamed Mirzaali,11808,Rahman Raoufi,15354,Tim Dickson,14444,Zachery Schubert,Volleyball World Beach Pro Tour 2018 Season Summary,3425,2018
Satun, Thailand,Apr 8-11,W,8129,Caitlin Ledoux,10583,Emily Stockman,6063,Tatyana Mashkova,9490,Irina Tsimbalova,13873,Taravadee Naraphornrapat,11932,Rumpaipruet Numwong,17365,Dhita Juliana,17366,Putu Utami,Volleyball World Beach Pro Tour 2018 Season Summary,3426,2018
Xiamen, China,Apr 18-22,M,14263,Oleg Stoyanovskiy,13720,Igor Velichko,10745,Viacheslav Krasilnikov,15526,Nikita Liamin,7998,Alison Cerutti,8539,Bruno Schmidt,10443,Piotr Kantor,10444,Bartosz Losiak,Volleyball World Beach Pro Tour 2018 Season Summary,3427,2018
Baden, Austria,Aug 19-23,M,10527,Robin Seidl,13876,Philipp Waller,11641,Mirco Gerson,14650,Adrian Heidrich,14785,Yves Haussener,13743,Quentin Metral,11750,Jan Pokersnik,10129,Nejc Zemljak,Volleyball World Beach Pro Tour 2020 Season Summary,3884,2020
Baden, Austria,Aug 20-23,W,13151,Nina Brunner,11625,Tanja Huberli,10716,Joana Mader,10813,Anouk Verge-Depre,10805,Victoria Bieneck,10827,Isabel Schneider,9100,Karla Borger,8417,Julia Sude,Volleyball World Beach Pro Tour 2020 Season Summary,3885,2020
Montpellier, France,Aug 25-29,M,17928,David Ahman,18278,Jonatan Hellvig,17129,Quincy Aye,15475,Arnaud Gauthier-Rat,18143,Matthew Immers,20203,Leon Luini,14579,Arnaud Loiseau,15406,Timothee Platre,Volleyball World Beach Pro Tour 2020 Season Summary,3843,2020
Ostrava, Czech Republic,Jun 1-6,W,14478,Kelly Cheng,14959,Sarah Sponcil,10716,Joana Mader,10813,Anouk Verge-Depre,5887,Carol Salgado,8022,Barbara Seixas,10798,Melissa Humana-Paredes,14304,Sarah Pavan,Volleyball World Beach Pro Tour 2021 Season Summary,3913,2021
Ostrava, Czech Republic,Jun 2-6,M,9129,Alexander Brouwer,9130,Robert Meeuwsen,13393,Ondrej Perusic,16538,David Schweiner,15355,Andre Loyola,14454,George Wanderley,10745,Viacheslav Krasilnikov,14263,Oleg Stoyanovskiy,Volleyball World Beach Pro Tour 2021 Season Summary,3912,2021
Las Vegas, United States,Oct 16-21,W,9176,Heather Bansley,14956,Brandie Wilkerson,10798,Melissa Humana-Paredes,14304,Sarah Pavan,8003,Maria Antonelli,5887,Carol Salgado,11610,Rebecca Cavalcanti,15329,Ana Patricia Silva,Volleyball World Beach Pro Tour 2019 Season Summary,3558,2019
Las Vegas, United States,Oct 17-21,M,14741,Anders Mol,13274,Christian Sorum,13340,Michal Bryl,8758,Grzegorz Fijalek,10745,Viacheslav Krasilnikov,14263,Oleg Stoyanovskiy,13699,Tri Bourne,13453,Trevor Crabb,Volleyball World Beach Pro Tour 2019 Season Summary,3557,2019
Doha, Qatar,May 5-8,M,13340,Michal Bryl,10444,Bartosz Losiak,17983,Samuele Cottafava,9059,Paolo Nicolai,13344,Martin Ermacora,14710,Moritz Pristauz,18616,Stefan Boermans,17881,Yorick de Groot,Volleyball World Beach Pro Tour 2022 Season Summary,4053,2022
Doha, Qatar,May 5-8,W,5887,Carol Salgado,8022,Barbara Seixas,9373,Chantal Laboureur,16916,Sarah Schulz,13151,Nina Brunner,11625,Tanja Huberli,8395,Mariafe Artacho,10795,Taliqua Clancy,Volleyball World Beach Pro Tour 2022 Season Summary,4054,2022
Xiamen, China,Apr 18-22,W,10798,Melissa Humana-Paredes,14304,Sarah Pavan,14478,Kelly Cheng,6428,Brittany Hochevar,8395,Mariafe Artacho,10795,Taliqua Clancy,6641,Agatha Bednarczuk,13802,Duda Lisboa,Volleyball World Beach Pro Tour 2018 Season Summary,3428,2018
Langkawi, Malaysia,Apr 26-29,M,9809,Simon Fruhbauer,9549,Jorg Wutzl,15529,Petr Bakhnar,15487,Taras Myskiv,17546,Nuttanon Inkiew,13843,Intuch Techakijvorakul,9419,Paul Becker,14809,Eric Stadie,Volleyball World Beach Pro Tour 2018 Season Summary,3429,2018
